301472 20393.3 3.99779e-05
301473 20394.7 1.10514e-05
301474 20395 3.60185e-05
301475 20395.1 6.44926e-06
301476 20395.5 2.84533e-06
301477 20398.9 1.68767e-05
301478 20399.2 8.43618e-06
301479 20399.5 1.00448e-05
301367 20301.5 1.01137e-05
301368 20302.2 8.51008e-06
301369 20303 8.5417e-06
301370 20303.2 1.22934e-05
301371 20304.6 6.45093e-06
301372 20304.7 7.71057e-06
301373 20305 1.60292e-05
301374 20306.6 1.36164e-06
301375 20307 1.0432e-05
301408 20339.7 9.47573e-06
301409 20340.6 5.01217e-06
301410 20342.1 1.16195e-05
301411 20342.1 1.20368e-05
301412 20343.2 2.70729e-06
301413 20343.3 5.81634e-06
301414 20344 1.13047e-05
301415 20344.3 2.37025e-05
301416 20344.4 3.7656e-05
301417 20346.8 1.52552e-05
301418 20346.8 9.10232e-06
301419 20347.7 1.27765e-05
301420 20348.6 2.85137e-05
301421 20349 1.51808e-05
301422 20349 1.60661e-05
301423 20350.4 6.01295e-06
301424 20350.4 1.80681e-05
301425 20350.8 4.71806e-05
301426 20355.8 2.14567e-06
301427 20356.4 9.24268e-06
301428 20358.6 1.37565e-05
301429 20358.7 0.000157782
301430 20359.8 4.58185e-06
301431 20360.1 1.91959e-05
301432 20361.7 2.44703e-06
301433 20362.1 2.97948e-06
301434 20362.1 3.84535e-06
301435 20362.4 2.51516e-05
301436 20364.2 6.15301e-05
301437 20364.3 9.26202e-06
301438 20364.9 1.42021e-05
301439 20366.4 5.79203e-06
301440 20367.3 9.36716e-06
301441 20367.3 1.05008e-05
301442 20371.5 1.46731e-05
301443 20372 1.1812e-05
301444 20372.4 7.15366e-06
301445 20372.7 2.0303e-06
301446 20373.1 5.24907e-06
301447 20373.5 9.11692e-06
301448 20376.1 1.02339e-05
301449 20376.3 5.93209e-05
301450 20377.3 8.5779e-06
301451 20377.9 7.70995e-06
301452 20378.6 1.67338e-05
301453 20378.7 1.32728e-06
301454 20379.3 5.10505e-06
301455 20379.9 6.51632e-06
301456 20381.1 1.07722e-05
301457 20382 5.34846e-05
301458 20382.3 8.92761e-06
301459 20385.2 8.11978e-06
301460 20387.5 9.57739e-06
301461 20387.9 1.35853e-06
301462 20387.9 1.40642e-05
301463 20388.3 8.48727e-06
301464 20389 0.000106886
301465 20389.2 4.6545e-05
301466 20389.6 1.99488e-06
301467 20390.3 7.74937e-06
301468 20390.5 4.42802e-06
301469 20391 4.50142e-06
301470 20392.6 5.75775e-06
301471 20392.7 1.08829e-05
301376 20307.7 2.56871e-05
301377 20308.6 1.70722e-05
301378 20310.5 5.02956e-05
301379 20311 4.2919e-05
301380 20313.3 7.79148e-06
301381 20313.6 1.11648e-05
301382 20315.3 1.29248e-06
301383 20315.7 1.00871e-05
301384 20316.3 1.05189e-05
301385 20319.5 2.51241e-06
301386 20321.7 5.4711e-06
301387 20322 1.18691e-05
301388 20322.1 8.33813e-06
301389 20322.4 8.57894e-06
301390 20322.5 3.63389e-05
301391 20324 1.01383e-05
301392 20325.2 4.051e-05
301393 20326.2 7.47264e-06
301394 20326.3 2.25466e-05
301395 20326.3 9.96698e-05
301396 20328 6.96288e-06
301397 20329.3 3.75544e-06
301398 20331.2 9.37407e-06
301399 20331.7 2.36048e-06
301400 20332.6 1.3279e-05
301401 20333.1 1.93859e-05
301402 20333.4 8.03748e-06
301403 20333.7 8.82471e-06
301404 20334 5.07867e-06
301405 20334.1 2.06694e-06
301406 20335.9 7.64449e-06
301407 20335.9 2.53386e-05
