161	1.3466167769	0.0314037313195	-6.12524511015e-05	8.0145569782e-08	-6.80092391638e-11	3.83271529425e-14	-1.45860133579e-17	3.75923067925e-21	-6.45994137593e-25	7.08317832095e-29	-4.48007775986e-33	1.24325836849e-37
181	1.23217784517	0.0329272691359	-6.54208994859e-05	8.64904265616e-08	-7.39500228711e-11	4.19367378188e-14	-1.60484769019e-17	4.15712319226e-21	-7.17696777821e-25	7.90304597916e-29	-5.01822284747e-33	1.39758058912e-37
171	3.0232266746	0.0328355215282	-6.5012253326e-05	8.56894589807e-08	-7.30930618012e-11	4.13781082651e-14	-1.5814065106e-17	4.09239675471e-21	-7.05996715697e-25	7.76974491593e-29	-4.93136197482e-33	1.37289962051e-37
162	2.75170702247	0.0338486611006	-6.79627070138e-05	9.02882104081e-08	-7.73187636081e-11	4.38614135664e-14	-1.67821953575e-17	4.34557681406e-21	-7.49899000066e-25	8.25385513187e-29	-5.23863738668e-33	1.45835204686e-37
182	2.92043568302	0.0318690668325	-6.25233966189e-05	8.20885202293e-08	-6.97936259997e-11	3.94085528717e-14	-1.50306598557e-17	3.88325295224e-21	-6.6900052499e-25	7.35407500213e-29	-4.6629055715e-33	1.29703981991e-37
172	4.70675542171	0.0318624729162	-6.25018070738e-05	8.20518700679e-08	-6.97589281257e-11	3.93881252888e-14	-1.50227944469e-17	3.88123868407e-21	-6.68660606838e-25	7.35044635563e-29	-4.66068668247e-33	1.29644810794e-37
626	2.97227058914	0.0217212279322	-4.40695084029e-05	6.18994840381e-08	-5.46386645883e-11	3.15049187145e-14	-1.21679197233e-17	3.16894345964e-21	-5.48895253964e-25	6.05674988602e-29	-3.8509614228e-33	1.07341245362e-37
636	3.66940971695	0.0216214882829	-4.37138704403e-05	6.14992224946e-08	-5.43782717708e-11	3.13976154441e-14	-1.21393773066e-17	3.16415674345e-21	-5.48433533091e-25	6.05496189314e-29	-3.85156834766e-33	1.07399086407e-37
628	3.72387198389	0.0217087082225	-4.40304902023e-05	6.18966326969e-08	-5.4669939991e-11	3.15361142007e-14	-1.21835532287e-17	3.17370932304e-21	-5.49814402561e-25	6.06772742855e-29	-3.85838345653e-33	1.07558651602e-37
627	5.48762849915	0.0217131094582	-4.40441853972e-05	6.18902821131e-08	-5.46476831246e-11	3.15168254549e-14	-1.21743777858e-17	3.17099662247e-21	-5.49302981145e-25	6.06173473286e-29	-3.85440015355e-33	1.0744379127e-37
638	4.42117032788	0.021606640481	-4.36653444318e-05	6.14840857747e-08	-5.43973487473e-11	3.14203377234e-14	-1.21511262189e-17	3.16775764037e-21	-5.49126520074e-25	6.06320063678e-29	-3.85710952128e-33	1.07560547223e-37
637	6.18472549826	0.0216144827352	-4.36912000545e-05	6.14963626358e-08	-5.43936265496e-11	3.14130885012e-14	-1.21470840117e-17	3.16648791602e-21	-5.48879640965e-25	6.0602486218e-29	-3.85511449268e-33	1.0750210579e-37
828	3.09111994521	0.0216909424337	-4.3971329394e-05	6.18572722037e-08	-5.46646256715e-11	3.15445127489e-14	-1.21898925542e-17	3.17595271337e-21	-5.50281825712e-25	6.07357900095e-29	-3.86246675338e-33	1.07681000659e-37
728	5.54708306988	0.0216971208469	-4.39914299783e-05	6.18615661914e-08	-5.4652101248e-11	3.15307574638e-14	-1.21827714924e-17	3.17374417236e-21	-5.49851051729e-25	6.06838989218e-29	-3.85893281483e-33	1.07576803059e-37
727	6.61708241952	0.0217054413296	-4.40184319487e-05	6.18774727811e-08	-5.46509099836e-11	3.15238366571e-14	-1.21783188882e-17	3.17222612678e-21	-5.4953842776e-25	6.06449086552e-29	-3.85621546758e-33	1.07495448462e-37
838	3.78831574899	0.0215876224538	-4.35954788948e-05	6.14194987778e-08	-5.4366012347e-11	3.14129595521e-14	-1.21512741204e-17	3.16837720619e-21	-5.49310506693e-25	6.06588770323e-29	-3.85914731049e-33	1.07624679585e-37
837	6.24431849787	0.0215953553515	-4.36253258399e-05	6.14456191146e-08	-5.43766705283e-11	3.1413837514e-14	-1.21501176761e-17	3.16778466152e-21	-5.49169430914e-25	6.0640023841e-29	-3.85778392187e-33	1.07582991691e-37
26	2.07887362983	0.0215448899113	-4.23517625506e-05	5.56370129991e-08	-4.74230256751e-11	2.68514130743e-14	-1.02671833023e-17	2.65832869053e-21	-4.58804222086e-25	5.05110495853e-29	-3.20674905629e-33	8.9294531485e-38
36	2.81575465338	0.0215598310251	-4.23890763736e-05	5.56838238223e-08	-4.74550918256e-11	2.68660317752e-14	-1.0272027565e-17	2.65951625697e-21	-4.59012429021e-25	5.05353488988e-29	-3.20841754937e-33	8.93450800863e-38
28	2.12633364311	0.0215601460164	-4.23876257187e-05	5.56777023129e-08	-4.74455295535e-11	2.68581399464e-14	-1.02680908848e-17	2.65826673039e-21	-4.58758263542e-25	5.05032629856e-29	-3.20612910486e-33	8.92746290196e-38
27	3.89536952351	0.0215563950413	-4.23845431657e-05	5.56855879057e-08	-4.74648970326e-11	2.68753455775e-14	-1.02765732866e-17	2.66085228553e-21	-4.59258387561e-25	5.0563178418e-29	-3.21019006621e-33	8.93937747763e-38
38	2.86566760303	0.021572703454	-4.24167693021e-05	5.57092214993e-08	-4.74600904105e-11	2.6860386426e-14	-1.02673498037e-17	2.65781100232e-21	-4.58652527058e-25	5.04900023743e-29	-3.20524062055e-33	8.92495819003e-38
