SH               36S-1H                   36S-1H__GYT                      SH/36S-1H/GYT                                   0        1        0
SH               32S-2H                   32S-2H__SNaSH-SH                 SH/32S-2H/SNaSH-SH                              0        1        0
SH               32S-2H                   32S-2H__GYT                      SH/32S-2H/GYT                                   0        1        0
HF               1H-19F                   1H-19F__PTY                      HF/1H-19F/PTY                                   0        1        0
HF               1H-19F                   1H-19F__Coxon-Hajig              HF/1H-19F/Coxon-Hajig                           0        0        0
PH               31P-1H                   31P-1H__LaTY                     PH/31P-1H/LaTY                                  0        1        0
VO               51V-16O                  51V-16O__VOMYT                   VO/51V-16O/VOMYT                             5000        7        5
AlO              27Al-16O                 27Al-16O__ATP                    AlO/27Al-16O/ATP                                0        1        0
AlO              26Al-16O                 26Al-16O__ATP                    AlO/26Al-16O/ATP                                0        1        0
AlO              27Al-17O                 27Al-17O__ATP                    AlO/27Al-17O/ATP                                0        1        0
AlO              27Al-18O                 27Al-18O__ATP                    AlO/27Al-18O/ATP                                0        1        0
YO               89Y-16O                  89Y-16O__SSYT                    YO/89Y-16O/SSYT                                 0        1        0
MgO              24Mg-16O                 24Mg-16O__LiTY                   MgO/24Mg-16O/LiTY                               0        1        0
MgO              25Mg-16O                 25Mg-16O__LiTY                   MgO/25Mg-16O/LiTY                               0        1        0
MgO              26Mg-16O                 26Mg-16O__LiTY                   MgO/26Mg-16O/LiTY                               0        1        0
MgO              24Mg-17O                 24Mg-17O__LiTY                   MgO/24Mg-17O/LiTY                               0        1        0
MgO              24Mg-18O                 24Mg-18O__LiTY                   MgO/24Mg-18O/LiTY                               0        1        0
TiO              49Ti-16O                 49Ti-16O__Kurucz                 TiO/49Ti-16O/Kurucz                             0        1        0
TiO              49Ti-16O                 49Ti-16O__Toto                   TiO/49Ti-16O/Toto                               0        1        0
TiO              48Ti-16O                 48Ti-16O__Kurucz                 TiO/48Ti-16O/Kurucz                             0        1        0
TiO              48Ti-16O                 48Ti-16O__Toto                   TiO/48Ti-16O/Toto                               0        1        0
TiO              47Ti-16O                 47Ti-16O__Kurucz                 TiO/47Ti-16O/Kurucz                             0        1        0
TiO              47Ti-16O                 47Ti-16O__Toto                   TiO/47Ti-16O/Toto                               0        1        0
TiO              50Ti-16O                 50Ti-16O__Kurucz                 TiO/50Ti-16O/Kurucz                             0        1        0
TiO              50Ti-16O                 50Ti-16O__Toto                   TiO/50Ti-16O/Toto                               0        1        0
TiO              46Ti-16O                 46Ti-16O__Kurucz                 TiO/46Ti-16O/Kurucz                             0        1        0
TiO              46Ti-16O                 46Ti-16O__Toto                   TiO/46Ti-16O/Toto                               0        1        0
SiO              28Si-16O                 28Si-16O__Kurucz-SiO             SiO/28Si-16O/Kurucz-SiO                         0        0        0
SiO              28Si-16O                 28Si-16O__EBJT                   SiO/28Si-16O/EBJT                               0        1        0
SiO              28Si-16O                 28Si-16O__SiOUVenIR              SiO/28Si-16O/SiOUVenIR                          0        1        0
SiO              28Si-17O                 28Si-17O__EBJT                   SiO/28Si-17O/EBJT                               0        1        0
SiO              28Si-18O                 28Si-18O__EBJT                   SiO/28Si-18O/EBJT                               0        1        0
SiO              29Si-16O                 29Si-16O__EBJT                   SiO/29Si-16O/EBJT                               0        1        0
SiO              30Si-16O                 30Si-16O__EBJT                   SiO/30Si-16O/EBJT                               0        1        0
CaO              40Ca-16O                 40Ca-16O__VBATHY                 CaO/40Ca-16O/VBATHY                             0        1        0
NaO              23Na-16O                 23Na-16O__NaOUCMe                NaO/23Na-16O/NaOUCMe                            0        1        0
LaO              139La-16O                139La-16O__BDL                   LaO/139La-16O/BDL                               0        1        0
CO               12C-16O                  12C-16O__HITEMP2010              CO/12C-16O/HITEMP                               0        1        0
CO               12C-16O                  12C-16O__Li                      CO/12C-16O/Li                                   0        1        0
CO               12C-16O                  12C-16O__Li2015                  CO/12C-16O/Li2015                               0        0        0
CO               13C-16O                  13C-16O__HITEMP2010              CO/13C-16O/HITEMP                               0        1        0
CO               13C-16O                  13C-16O__Li                      CO/13C-16O/Li                                   0        1        0
CO               13C-16O                  13C-16O__Li2015                  CO/13C-16O/Li2015                               0        1        0
CO               12C-18O                  12C-18O__HITEMP2010              CO/12C-18O/HITEMP                               0        1        0
CO               12C-18O                  12C-18O__Li                      CO/12C-18O/Li                                   0        1        0
CO               12C-18O                  12C-18O__Li2015                  CO/12C-18O/Li2015                               0        1        0
CO               12C-17O                  12C-17O__HITEMP2010              CO/12C-17O/HITEMP                               0        1        0
CO               12C-17O                  12C-17O__Li                      CO/12C-17O/Li                                   0        1        0
CO               12C-17O                  12C-17O__Li2015                  CO/12C-17O/Li2015                               0        1        0
CO               13C-18O                  13C-18O__HITEMP2010              CO/13C-18O/HITEMP                               0        1        0
CO               13C-18O                  13C-18O__Li                      CO/13C-18O/Li                                   0        1        0
CO               13C-18O                  13C-18O__Li2015                  CO/13C-18O/Li2015                               0        1        0
CO               13C-17O                  13C-17O__HITEMP2010              CO/13C-17O/HITEMP                               0        1        0
CO               13C-17O                  13C-17O__Li                      CO/13C-17O/Li                                   0        1        0
CO               13C-17O                  13C-17O__Li2015                  CO/13C-17O/Li2015                               0        1        0
CO               14C-16O                  14C-16O__Li                      CO/14C-16O/Li                                   0        1        0
CO               14C-17O                  14C-17O__Li                      CO/14C-17O/Li                                   0        1        0
CO               14C-18O                  14C-18O__Li                      CO/14C-18O/Li                                   0        1        0
NO               14N-16O                  14N-16O__HITEMP2010              NO/14N-16O/HITEMP                               0        1        0
NO               14N-16O                  14N-16O__NOname                  NO/14N-16O/NOname                               0        1        0
NO               14N-16O                  14N-16O__XABC                    NO/14N-16O/XABC                                 0        1        0
NO               15N-16O                  15N-16O__NOname                  NO/15N-16O/NOname                               0        1        0
NO               14N-18O                  14N-18O__NOname                  NO/14N-18O/NOname                               0        1        0
NO               15N-18O                  15N-18O__NOname                  NO/15N-18O/NOname                               0        1        0
NO               14N-17O                  14N-17O__NOname                  NO/14N-17O/NOname                               0        1        0
NO               15N-17O                  15N-17O__NOname                  NO/15N-17O/NOname                               0        1        0
PO               31P-16O                  31P-16O__POPS                    PO/31P-16O/POPS                                 0        1        0
O2               16O2                     16O2__HITRAN                     O2/16O2/HITRAN                                  0        1        0
H2O              1H2-16O                  1H2-16O__BT2                     H2O/1H2-16O/BT2                                -1       16        5
H2O              1H2-16O                  1H2-16O__VT                      H2O/1H2-16O/VT                                  0        1        0
H2O              1H2-16O                  1H2-16O__WAT-UV296               H2O/1H2-16O/WAT-UV296                           0        1        0
H2O              1H2-16O                  1H2-16O__CKYKKY                  H2O/1H2-16O/CKYKKY                              0        1        0
H2O              1H2-16O                  1H2-16O__YYZYK-HF                H2O/1H2-16O/YYZYK-HF                            0        1        0
H2O              1H2-16O                  1H2-16O__POKAZATEL               H2O/1H2-16O/POKAZATEL                         100      412        5
H2O              1H2-18O                  1H2-18O__HotWat78                H2O/1H2-18O/HotWat78                         1000       30        5
H2O              1H2-17O                  1H2-17O__HotWat78                H2O/1H2-17O/HotWat78                         1000       30        5
H2O              1H-2H-16O                1H-2H-16O__Hewitt                H2O/1H-2H-16O/Hewitt                            0        1        0
H2O              1H-2H-16O                1H-2H-16O__Janka                 H2O/1H-2H-16O/Janka                             0        1        0
H2O              1H-2H-16O                1H-2H-16O__VTT                   H2O/1H-2H-16O/VTT                              -1       16        5
H2O              2H2-16O                  2H2-16O__Hewitt                  H2O/2H2-16O/Hewitt                              0        1        0
